project,datetime_UTC,datetime_local,siteId,rType,appr1,appr2,appr3,appr4,rep,sublocation,Temp_EXO_C,ODOSat,ODO_mg_L,SpCond_uS_cm,Conductivity_uS_cm,FDOM_QSU_Raw,FDOM_QSU_Temp,FDOM_QSU_TempTurb,Turbidity_NTU,flag_Temp_EXO_C,flag_ODOSat,flag_ODO_mg_L,flag_SpCond_uS_cm,flag_Conductivity_uS_cm,flag_FDOM_QSU,flag_FDOM_QSU_Temp,flag_FDOM_QSU_TempTurb,flag_Turbidity_NTU
AIMS,2022-03-28 03:00:00,2022-03-27 21:00:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,2.61,85.8,11.67,112,NA,66.63,60.42109562,63.07070456,9.41,,,,,M,,,,
AIMS,2022-03-28 03:15:00,2022-03-27 21:15:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,4.13,90.5,11.82,114,NA,64.66,59.00795875,61.51510557,9.12,,,,,M,,,,
AIMS,2022-03-28 03:30:00,2022-03-27 21:30:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,2.96,89.1,12,112,NA,62.54,56.79495263,59.59052752,10.55,,,,,M,,,,
AIMS,2022-03-28 03:45:00,2022-03-27 21:45:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,4.2,92.9,12.11,114,NA,62.58,57.12652389,59.85493413,10.24,,,,,M,,,,
AIMS,2022-03-28 04:00:00,2022-03-27 22:00:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,4.58,93.7,12.09,115,NA,62.11,56.78789106,59.68759676,10.94,,,,,M,,,,
AIMS,2022-03-28 04:15:00,2022-03-27 22:15:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,4.46,94,12.18,115,NA,61.74,56.42118456,59.45135405,11.5,,,,,M,,,,
AIMS,2022-03-28 04:30:00,2022-03-27 22:30:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,4.39,94.2,12.22,115,NA,61.27,55.97524046,59.18523316,12.27,,,,,M,,,,
AIMS,2022-03-28 04:45:00,2022-03-27 22:45:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,4.29,94.4,12.27,114,NA,61.23,55.91525211,59.52980867,13.81,,,,,M,,,,
AIMS,2022-03-28 05:00:00,2022-03-27 23:00:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,4.22,94.5,12.31,115,NA,61.4,56.0540508,59.64300654,13.68,,,,,M,,,,
AIMS,2022-03-28 05:15:00,2022-03-27 23:15:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,4.18,94.4,12.31,115,NA,61.5,56.13593572,59.82870092,14.05,,,,,M,,,,
