"date","site","reads","reads_after","diff","per"
20220319,"DSS01",45302,17105,28197,38
20220321,"JSS01",30451,10125,20326,33
20220326,"GSS01",28711,4052,24659,14
20220429,"GSS01",39545,28686,10859,73
20220508,"DSS01",44073,10491,33582,24
20220510,"JSS01",40830,24569,16261,60
20220523,"GSS01",46408,33841,12567,73
20220614,"GSS01",40262,3181,37081,8
20220618,"DSS01",52662,44365,8297,84
20220621,"JSS01",39596,17245,22351,44
20220708,"GSS01",41184,24989,16195,61
20220727,"GSS01",56060,46117,9943,82
20230627,"GSS01",7173,4072,3101,57
