"date","site","reads","reads_after","diff","per"
20220609,"TLB01",11365,4722,6643,42
20220609,"TLB02",14335,3696,10639,26
20220609,"TLC01",15035,10264,4771,68
20220609,"TLC02",8200,1041,7159,13
20220609,"TLC03",9851,1220,8631,12
20220609,"TLCG1",9328,6782,2546,73
20220609,"TLM01",35327,7748,27579,22
20220609,"TLM03",18772,8476,10296,45
20220609,"TLM04",8129,4799,3330,59
20220609,"TLM05",8976,5874,3102,65
20220609,"TLM06",12837,6520,6317,51
20220609,"TLM08",14531,8207,6324,56
20220609,"TLM09",17036,8923,8113,52
20220609,"TLM10",12177,5846,6331,48
20220610,"TLA01",12877,8094,4783,63
20220610,"TLA02",18991,4466,14525,24
20220610,"TLA04",51778,27497,24281,53
20220610,"TLM13",10925,4262,6663,39
20220610,"TLM14",5870,5242,628,89
20220610,"TLM15",12216,5373,6843,44
20220610,"TLM16",3415,2231,1184,65
20220610,"TLM17",16939,1068,15871,6
20220610,"TLM18",9852,2424,7428,25
20220610,"TLM19",11326,2523,8803,22
20220610,"TLM20",19003,5018,13985,26
20220610,"TLM22",6356,1884,4472,30
20220610,"TLMG5",20538,7312,13226,36
20220610,"TLZ01",11865,9370,2495,79
