"watershed","siteId","num_samples","connected","elevation","long","lat","distance_from_outlet","drainage_area_m","mean_canopy","mean_width","date","SpecCond_usCm","mean_temp","n","num_days","read_days","num_dry_days","per_dry","num_days_alt","read_days_alt","num_dry_days_alt","per_dry_alt"
"GP","01M01",6,"Connected",373.909790039062,-96.577021,39.086665,1400,283099,85.8733333333333,2.35,20210605,NA,15.1433674176776,7,110,183,73,39.8907103825137,2,2,0,NA
"GP","01M02",6,"Connected",375.425323486328,-96.576332,39.086288,1510,278823,21.6666666666667,1.11666666666667,20210605,NA,15.1780173310225,7,41,244,203,83.1967213114754,5,47,42,89.3617021276596
"GP","01M03",4,"Disconnected",378.814392089844,-96.575936,39.084711,1700,259970,75.185,1.55,20210606,NA,16.3045736568458,7,23,236,213,90.2542372881356,1,47,46,97.8723404255319
"GP","01M04",6,"Connected",381.355895996094,-96.575156,39.083636,1840,247503,67.5,2.03333333333333,20210606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GP","01M05",6,"Connected",384.710754394531,-96.574188,39.082643,2000,198808,52.0833333333333,2.05166666666667,20210606,NA,15.8203847487002,7,205,226,21,9.29203539823009,37,37,0,0
"GP","02M01",6,"Connected",353.349395751953,-96.58813,39.09188,102,241532,21.4066666666667,1.76666666666667,20210605,NA,16.1772426343154,7,0,132,132,100,0,28,28,NA
"GP","02M02",6,"Connected",356.274871826172,-96.58832556,39.09084425,235,237320,20.41,2.95,20210605,490,16.029259965338,7,30,260,230,88.4615384615385,3,47,44,93.6170212765958
"GP","02M03",6,"Connected",358.495635986328,-96.58859,39.08991,360,203529,21.06,1.66666666666667,20210605,552,16.1449098786828,7,55,236,181,76.6949152542373,0,47,47,100
"GP","02M04",6,"Connected",364.215728759766,-96.589642,39.088242,620,189885,6.63,1.11666666666667,20210605,553,NA,NA,0,215,215,100,0,15,15,NA
"GP","02M05",6,"Connected",367.758941650391,-96.59082413,39.08698067,809,177830,8.66666666666667,1.38333333333333,20210605,572,NA,NA,41,96,55,57.2916666666667,NA,NA,NA,NA
"GP","02M06",6,"Connected",369.406402587891,-96.591427,39.087237,880,156919,1.82,2.13333333333333,20210606,500,15.8397833622184,7,66,330,264,80,6,45,39,86.6666666666667
"GP","02M07",6,"Connected",373.296539306641,-96.59252,39.08648,1040,141328,3.59666666666667,1.5,20210606,556,15.3321837088388,7,272,330,58,17.5757575757576,45,45,0,0
"GP","02M08",6,"Connected",376.867004394531,-96.592913,39.085573,1200,129671,4.16,1.26666666666667,20210606,597,15.2196585788562,7,31,144,113,78.4722222222222,3,45,42,93.3333333333333
"GP","02M09",6,"Connected",379.947204589844,-96.59339,39.08482,1330,98943,10.92,0.766666666666667,20210606,546,15.3102149046794,7,96,330,234,70.9090909090909,14,45,31,68.8888888888889
"GP","02M10",6,"Connected",387.223388671875,-96.59357,39.08251,1600,61497,10.4433333333333,1.15,20210606,532,15.2814090121317,7,137,236,99,41.9491525423729,34,47,13,27.6595744680851
"GP","02M11",6,"Connected",401.544860839844,-96.593682,39.079249,2000,26741,0,0.516666666666667,20210606,561,17.6465043327556,7,218,332,114,34.3373493975904,37,47,10,21.2765957446809
"GP","04M01",6,"Connected",355.157409667969,-96.586195,39.089842,320,397602,18.72,2.55,20210603,NA,15.7289064124783,7,161,256,95,37.109375,26,47,21,44.6808510638298
"GP","04M02",6,"Connected",362.072326660156,-96.58481,39.08775,660,302096,13.4333333333333,2,20210605,NA,15.5250225303293,7,147,213,66,30.9859154929577,32,32,0,NA
"GP","04M03",6,"Connected",364.991577148438,-96.58366,39.08685,810,293020,13.52,2.325,20210605,NA,15.2511057192374,7,114,236,122,51.6949152542373,22,47,25,53.1914893617021
"GP","04M04",6,"Connected",367.72216796875,-96.58345,39.08576,950,284130,15.4266666666667,1.6,20210605,NA,15.1296932409012,7,299,299,0,0,47,47,0,0
"GP","04M05",6,"Connected",370.058471679688,-96.5831,39.08502,1060,238689,19.76,2.11666666666667,20210605,NA,14.9563396880416,7,260,260,0,0,47,47,0,0
"GP","04M06",6,"Connected",372.054779052734,-96.58342,39.084258,1200,233323,17.5933333333333,1.93333333333333,20210606,NA,14.9044835355286,7,30,236,206,87.2881355932203,12,47,35,74.468085106383
"GP","04M07",6,"Connected",376.434906005859,-96.58253,39.08278,1400,151506,20.28,0.591666666666667,20210606,NA,14.6709462738302,7,64,332,268,80.7228915662651,2,47,45,95.7446808510638
"GP","04M08",6,"Connected",380.307403564453,-96.58221,39.08131,1600,138929,9.14333333333333,1.58333333333333,20210606,NA,14.6689410745234,7,331,332,1,0.301204819277108,47,47,0,0
"GP","04M09",6,"Connected",384.876220703125,-96.581629,39.079941,1800,84654,5.72,1.10333333333333,20210606,NA,15.2280329289428,7,172,252,80,31.7460317460317,40,47,7,14.8936170212766
"GP","04M10",6,"Connected",393.935333251953,-96.58289,39.077433,2100,65928,18.6333333333333,1.25,20210606,NA,15.2542547660312,7,50,332,282,84.9397590361446,1,47,46,97.8723404255319
"GP","04M11",6,"Connected",404.717041015625,-96.583835,39.074718,2500,28759,19.4133333333333,0.748333333333333,20210607,NA,15.0480693240901,7,77,332,255,76.8072289156626,23,47,24,51.063829787234
"GP","04M12",6,"Connected",407.246307373047,-96.584063,39.073158,2700,22526,21.875,0.63,20210607,NA,14.4341785095321,7,110,332,222,66.8674698795181,25,47,22,46.8085106382979
