"site","date","watershed","kingdom","phylum","class","order","family","genus","species","tot_read","Lowest_ID"
"PRM01",20211103,"PRF","Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Corynoneura",,8,"Corynoneura"
"PRM01",20211103,"PRF","Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Eukiefferiella","Eukiefferiella sp. BOLD:AAI5126",9,"Eukiefferiella sp. BOLD:AAI5126"
"PRM01",20211103,"PRF","Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Polypedilum","Polypedilum aviceps",140,"Polypedilum aviceps"
"PRM01",20211103,"PRF","Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Tanytarsus","Tanytarsus sp. BOLD-2016",47,"Tanytarsus sp. BOLD-2016"
"PRM01",20211103,"PRF","Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Thienemanniella","Thienemanniella xena",8,"Thienemanniella xena"
"PRM01",20211103,"PRF","Eukaryota","Arthropoda","Insecta","Ephemeroptera","Ameletidae","Ameletus",,212,"Ameletus"
"PRM01",20211103,"PRF","Eukaryota","Arthropoda","Insecta","Plecoptera","Capniidae","Allocapnia","Allocapnia rickeri",74,"Allocapnia rickeri"
"PRM01",20211103,"PRF","Eukaryota","Arthropoda","Malacostraca","Decapoda","Cambaridae","Cambarus",,55,"Cambarus"
"PRM01",20211103,"PRF","Eukaryota","Arthropoda","Malacostraca","Decapoda","Cambaridae",,,1547,"Cambaridae"
"PRM01",20211103,"PRF","Eukaryota","Nemertea","Enopla","Monostilifera","Tetrastemmatidae","Prostoma","Prostoma cf. eilhardi EZ-2019",21,"Prostoma cf. eilhardi EZ-2019"
"PRM01",20211121,"PRF","Eukaryota","Annelida","Clitellata","Crassiclitellata","Lumbricidae","Aporrectodea","Aporrectodea caliginosa L3",35,"Aporrectodea caliginosa L3"
"PRM01",20211121,"PRF","Eukaryota","Arthropoda","Arachnida","Sarcoptiformes","Phthiracaridae",,,23,"Phthiracaridae"
"PRM01",20211121,"PRF","Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Corynoneura","Corynoneura sp. BOLD-2016",44,"Corynoneura sp. BOLD-2016"
"PRM01",20211121,"PRF","Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Eukiefferiella",,18,"Eukiefferiella"
"PRM01",20211121,"PRF","Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Parametriocnemus",,59,"Parametriocnemus"
"PRM01",20211121,"PRF","Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Thienemanniella","Thienemanniella xena",31,"Thienemanniella xena"
"PRM01",20211121,"PRF","Eukaryota","Arthropoda","Insecta","Diptera","Simuliidae","Simulium",,101,"Simulium"
"PRM01",20211121,"PRF","Eukaryota","Arthropoda","Insecta","Ephemeroptera","Ameletidae","Ameletus",,832,"Ameletus"
"PRM01",20211121,"PRF","Eukaryota","Arthropoda","Insecta","Plecoptera","Capniidae","Allocapnia","Allocapnia recta",26,"Allocapnia recta"
"PRM01",20211121,"PRF","Eukaryota","Arthropoda","Insecta","Plecoptera","Leuctridae","Leuctra",,11,"Leuctra"
"PRM01",20211121,"PRF","Eukaryota","Arthropoda","Insecta","Trichoptera","Hydropsychidae","Cheumatopsyche",,2405,"Cheumatopsyche"
"PRM01",20211121,"PRF","Eukaryota","Arthropoda","Insecta","Trichoptera","Hydropsychidae","Diplectrona","Diplectrona modesta",29,"Diplectrona modesta"
"PRM01",20211121,"PRF","Eukaryota","Arthropoda","Insecta","Trichoptera","Limnephilidae","Pycnopsyche",,442,"Pycnopsyche"
"PRM01",20211121,"PRF","Eukaryota","Arthropoda","Insecta","Trichoptera","Uenoidae","Neophylax","Neophylax acutus",88,"Neophylax acutus"
"PRM01",20211215,"PRF","Eukaryota","Arthropoda","Insecta","Coleoptera","Dytiscidae","Heterosternuta","Heterosternuta pulchra",54,"Heterosternuta pulchra"
"PRM01",20211215,"PRF","Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Corynoneura",,8,"Corynoneura"
"PRM01",20211215,"PRF","Eukaryota","Arthropoda","Insecta","Ephemeroptera","Ameletidae","Ameletus",,1334,"Ameletus"
"PRM01",20211215,"PRF","Eukaryota","Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Epeorus",,1246,"Epeorus"
"PRM01",20211215,"PRF","Eukaryota","Arthropoda","Insecta","Plecoptera","Capniidae","Allocapnia","Allocapnia rickeri",25,"Allocapnia rickeri"
"PRM01",20211215,"PRF","Eukaryota","Arthropoda","Insecta","Trichoptera","Hydropsychidae","Cheumatopsyche",,66,"Cheumatopsyche"
"PRM01",20211215,"PRF","Eukaryota","Arthropoda","Insecta","Trichoptera","Hydropsychidae","Diplectrona",,143,"Diplectrona"
"PRM01",20211215,"PRF","Eukaryota","Arthropoda","Insecta","Trichoptera","Limnephilidae","Pycnopsyche",,13,"Pycnopsyche"
"PRM01",20220112,"PRF","Eukaryota","Annelida","Clitellata","Crassiclitellata","Lumbricidae","Aporrectodea","Aporrectodea caliginosa L3",215,"Aporrectodea caliginosa L3"
"PRM01",20220112,"PRF","Eukaryota","Arthropoda","Arachnida","Sarcoptiformes","Euphthiracaridae",,,26,"Euphthiracaridae"
"PRM01",20220112,"PRF","Eukaryota","Arthropoda","Insecta","Diptera","Empididae","Neoplasta","Neoplasta scapularis",30,"Neoplasta scapularis"
"PRM01",20220112,"PRF","Eukaryota","Arthropoda","Insecta","Ephemeroptera","Ameletidae","Ameletus",,200,"Ameletus"
"PRM01",20220112,"PRF","Eukaryota","Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Epeorus",,959,"Epeorus"
"PRM01",20220112,"PRF","Eukaryota","Arthropoda","Insecta","Plecoptera","Capniidae","Allocapnia",,108,"Allocapnia"
"PRM01",20220112,"PRF","Eukaryota","Arthropoda","Insecta","Plecoptera","Nemouridae","Amphinemura","Amphinemura delosa",19,"Amphinemura delosa"
"PRM01",20220112,"PRF","Eukaryota","Arthropoda","Insecta","Plecoptera","Perlodidae","Isoperla","Isoperla decepta",4022,"Isoperla decepta"
"PRM01",20220112,"PRF","Eukaryota","Arthropoda","Insecta","Trichoptera","Glossosomatidae","Agapetus","Agapetus crasmus",364,"Agapetus crasmus"
"PRM01",20220112,"PRF","Eukaryota","Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","Rhyacophila fenestra",60,"Rhyacophila fenestra"
"PRM01",20220112,"PRF","Eukaryota","Arthropoda","Malacostraca","Decapoda","Cambaridae",,,228,"Cambaridae"
"PRM01",20220211,"PRF","Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Thienemannimyia",,20,"Thienemannimyia"
"PRM01",20220211,"PRF","Eukaryota","Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Epeorus","Epeorus sp. BOLD:AAA8436",210,"Epeorus sp. BOLD:AAA8436"
"PRM01",20220211,"PRF","Eukaryota","Arthropoda","Insecta","Plecoptera","Capniidae","Allocapnia",,61,"Allocapnia"
"PRM01",20220211,"PRF","Eukaryota","Arthropoda","Insecta","Plecoptera","Nemouridae","Amphinemura","Amphinemura delosa",12,"Amphinemura delosa"
"PRM01",20220211,"PRF","Eukaryota","Arthropoda","Insecta","Plecoptera","Perlodidae","Isoperla","Isoperla decepta",436,"Isoperla decepta"
"PRM01",20220211,"PRF","Eukaryota","Arthropoda","Insecta","Trichoptera","Glossosomatidae","Agapetus","Agapetus crasmus",208,"Agapetus crasmus"
"PRM01",20220211,"PRF","Eukaryota","Arthropoda","Insecta","Trichoptera","Polycentropodidae","Polycentropus","Polycentropus centralis",9,"Polycentropus centralis"
"PRM01",20220313,"PRF","Eukaryota","Annelida","Clitellata","Haplotaxida",,,,48,"Haplotaxida"
"PRM01",20220313,"PRF","Eukaryota","Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Epeorus",,3481,"Epeorus"
"PRM01",20220313,"PRF","Eukaryota","Arthropoda","Insecta","Plecoptera","Leuctridae","Leuctra",,36,"Leuctra"
"PRM01",20220313,"PRF","Eukaryota","Arthropoda","Insecta","Plecoptera","Nemouridae","Amphinemura",,47,"Amphinemura"
"PRM01",20220313,"PRF","Eukaryota","Arthropoda","Insecta","Plecoptera","Perlodidae","Isoperla","Isoperla decepta",929,"Isoperla decepta"
"PRM01",20220406,"PRF","Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Orthocladius","Orthocladius sp. BOLD-2016",12,"Orthocladius sp. BOLD-2016"
"PRM01",20220406,"PRF","Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Parametriocnemus",,8,"Parametriocnemus"
"PRM01",20220406,"PRF","Eukaryota","Arthropoda","Insecta","Diptera","Simuliidae",,,40,"Simuliidae"
"PRM01",20220406,"PRF","Eukaryota","Arthropoda","Insecta","Ephemeroptera","Baetidae","Acentrella","Acentrella turbida",9,"Acentrella turbida"
"PRM01",20220406,"PRF","Eukaryota","Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Epeorus","Epeorus sp. AMI 1",84,"Epeorus sp. AMI 1"
"PRM01",20220406,"PRF","Eukaryota","Arthropoda","Insecta","Plecoptera","Leuctridae","Leuctra",,73,"Leuctra"
"PRM01",20220406,"PRF","Eukaryota","Arthropoda","Insecta","Plecoptera","Nemouridae","Amphinemura","Amphinemura delosa",32,"Amphinemura delosa"
"PRM01",20220406,"PRF","Eukaryota","Arthropoda","Insecta","Plecoptera","Perlodidae","Isoperla","Isoperla decepta",1394,"Isoperla decepta"
"PRM01",20220503,"PRF","Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Cricotopus",,16,"Cricotopus"
"PRM01",20220503,"PRF","Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Dicrotendipes",,15,"Dicrotendipes"
"PRM01",20220503,"PRF","Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Eukiefferiella",,10,"Eukiefferiella"
"PRM01",20220503,"PRF","Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Orthocladius","Orthocladius carlatus",10,"Orthocladius carlatus"
"PRM01",20220503,"PRF","Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Orthocladius","Orthocladius sp. BOLD:AAB2644",8,"Orthocladius sp. BOLD:AAB2644"
"PRM01",20220503,"PRF","Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Parametriocnemus",,41,"Parametriocnemus"
"PRM01",20220503,"PRF","Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Thienemanniella","Thienemanniella xena",10,"Thienemanniella xena"
