"site","date","watershed","kingdom","phylum","class","order","family","genus","species","tot_read","Lowest_ID"
"TLA01",20220610,"TAL","Eukaryota","Arthropoda","Insecta","Coleoptera","Elmidae","Stenelmis",,186,"Stenelmis"
"TLA01",20220610,"TAL","Eukaryota","Arthropoda","Insecta","Coleoptera","Elmidae",,,349,"Elmidae"
"TLA01",20220610,"TAL","Eukaryota","Arthropoda","Insecta","Coleoptera","Psephenidae","Psephenus","Psephenus herricki",13,"Psephenus herricki"
"TLA01",20220610,"TAL","Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Tanytarsus","Tanytarsus sp. BOLD-2016",17,"Tanytarsus sp. BOLD-2016"
"TLA01",20220610,"TAL","Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Tanytarsus","Tanytarsus sp. BOLD:AAC0299",33,"Tanytarsus sp. BOLD:AAC0299"
"TLA01",20220610,"TAL","Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Tanytarsus","Tanytarsus sp. BOLD:ACL3790",17,"Tanytarsus sp. BOLD:ACL3790"
"TLA01",20220610,"TAL","Eukaryota","Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Maccaffertium","Maccaffertium meririvulanum",503,"Maccaffertium meririvulanum"
"TLA01",20220610,"TAL","Eukaryota","Arthropoda","Insecta","Megaloptera","Corydalidae","Nigronia","Nigronia fasciatus",18,"Nigronia fasciatus"
"TLA01",20220610,"TAL","Eukaryota","Arthropoda","Insecta","Odonata","Calopterygidae","Calopteryx",,96,"Calopteryx"
"TLA01",20220610,"TAL","Eukaryota","Arthropoda","Insecta","Plecoptera","Peltoperlidae","Tallaperla",,959,"Tallaperla"
"TLA01",20220610,"TAL","Eukaryota","Arthropoda","Insecta","Plecoptera","Perlidae","Eccoptura",,177,"Eccoptura"
"TLA01",20220610,"TAL","Eukaryota","Arthropoda","Insecta","Trichoptera","Hydropsychidae","Diplectrona","Diplectrona metaqui",126,"Diplectrona metaqui"
"TLA01",20220610,"TAL","Eukaryota","Arthropoda","Insecta","Trichoptera","Hydropsychidae","Diplectrona","Diplectrona modesta",2264,"Diplectrona modesta"
"TLA01",20220610,"TAL","Eukaryota","Arthropoda","Insecta","Trichoptera","Philopotamidae","Wormaldia",,19,"Wormaldia"
"TLA02",20220610,"TAL","Eukaryota","Arthropoda","Arachnida","Trombidiformes","Bdellidae",,,16,"Bdellidae"
"TLA02",20220610,"TAL","Eukaryota","Arthropoda","Insecta","Coleoptera","Elmidae","Oulimnius","Oulimnius latiusculus",29,"Oulimnius latiusculus"
