"reg","metric","value"
"SE","BDtotal",0.410525128526094
"SE","Repl",0.258207011565488
"SE","RichDif",0.152318116960605
"SE","Repl/BDtotal",0.628967616410054
"SE","RichDif/BDtotal",0.371032383589945
"GP","BDtotal",0.349120305392436
"GP","Repl",0.195330280279839
"GP","RichDif",0.153790025112597
"GP","Repl/BDtotal",0.559492751532381
"GP","RichDif/BDtotal",0.44050724846762
"MW","BDtotal",0.431186857860376
"MW","Repl",0.294465155263396
"MW","RichDif",0.13672170259698
"MW","Repl/BDtotal",0.682917741798957
"MW","RichDif/BDtotal",0.317082258201043
