"reg","metric","value"
"SE","BDtotal",0.422673673936211
"SE","Repl",0.264667713737026
"SE","RichDif",0.158005960199184
"SE","Repl/BDtotal",0.626175061418586
"SE","RichDif/BDtotal",0.373824938581414
"GP","BDtotal",0.345784416878703
"GP","Repl",0.194655270063047
"GP","RichDif",0.151129146815657
"GP","Repl/BDtotal",0.562938237125155
"GP","RichDif/BDtotal",0.437061762874846
"MW","BDtotal",0.434055036419306
"MW","Repl",0.289775589829907
"MW","RichDif",0.144279446589398
"MW","Repl/BDtotal",0.667601031012985
"MW","RichDif/BDtotal",0.332398968987014
