"watershed","siteId","status","num_samples"
"GP","01M02","wet,wet,wet,wet,wet,wet",6
"GP","01M03","dry,dry,wet,wet,wet,wet",4
"GP","01M05","wet,wet,wet,wet,wet,wet",6
"GP","02M02","wet,wet,wet,wet,wet,wet",6
"GP","02M03","wet,wet,wet,wet,wet,wet",6
"GP","02M06","wet,wet,wet,wet,wet,wet",6
"GP","02M07","wet,wet,wet,wet,wet,wet",6
"GP","02M08","wet,wet,wet,wet,wet,wet",6
"GP","02M09","wet,wet,wet,wet,wet,wet",6
"GP","02M10","wet,wet,wet,wet,wet,wet",6
"GP","02M11","wet,wet,wet,wet,wet,wet",6
"GP","04M01","wet,wet,wet,wet,wet,wet",6
"GP","04M03","wet,wet,wet,wet,wet,wet",6
"GP","04M04","wet,wet,wet,wet,wet,wet",6
"GP","04M05","wet,wet,wet,wet,wet,wet",6
"GP","04M06","wet,wet,wet,wet,wet,wet",6
"GP","04M07","wet,wet,wet,wet,wet,wet",6
"GP","04M08","wet,wet,wet,wet,wet,wet",6
"GP","04M09","wet,wet,wet,wet,wet,wet",6
"GP","04M10","wet,wet,wet,wet,wet,wet",6
"GP","04M11","wet,wet,wet,wet,wet,wet",6
"GP","04M12","wet,wet,wet,wet,wet,wet",6
"GP","20M02","wet,wet,dry,dry,dry,dry",2
"GP","20M04","dry,dry,dry,wet,wet,wet",3
"GP","20M05","wet,wet,wet,wet,wet,wet",6
"GP","SFM02","wet,wet,wet,wet,wet,wet",6
"GP","SFM04","wet,wet,wet,wet,wet,wet",6
"GP","SFM05","wet,wet,wet,wet,wet,wet",6
"GP","SFM07","wet,wet,wet,wet,wet,wet",6
"MW","GPZ02","w,w,w,w,w,w",6
"MW","GPZ03","w,w,w,w,w,w",6
"MW","GPZ05","d,d,w,w,w,w",4
"MW","GPZ06","w,w,w,w,w,w",6
"MW","GPZ07","w,w,w,w,w,w",6
"MW","GSS01","w,w,w,w,w,w",6
"MW","STIC01","w,w,w,w,w,w",6
"MW","STIC02","w,w,w,w,w,w",6
"MW","STIC03","w,w,w,w,w,w",6
"MW","STIC05","w,w,w,w,w,d",5
"MW","STIC06","w,w,d,d,d,d",2
"MW","STIC07","w,w,w,w,w,w",6
"MW","STIC09","w,w,w,w,w,w",6
"MW","STIC11","w,w,w,w,w,w",6
"MW","STIC13","dry,dry,w,w,w,w",4
"MW","STIC17","w,w,w,w,w,w",6
"MW","STIC22","dry,wet,wet,wet,wet,wet",5
"MW","STIC25","w,d,d,d,d,d",1
"MW","STIC51","w,w,w,w,w,w",6
"MW","STIC54","w,w,w,w,w,w",6
"MW","STIC55","w,w,w,w,w,w",6
"MW","STIC63","w,w,w,w,w,w",6
"MW","STIC66","w,w,w,w,w,w",6
"MW","STIC67","w,w,w,w,w,w",6
"MW","STIC70","w,w,w,w,w,w",6
"MW","STIC75","w,w,w,w,w,w",6
"MW","STIC76","w,w,w,w,w,w",6
"MW","STIC78","wet,wet,wet,wet,wet,wet",6
"SE","TLA01","wet,wet,wet,wet,wet,wet",6
"SE","TLA02","wet,wet,wet,wet,wet,wet",6
"SE","TLA04","wet,wet,wet,wet,wet,wet",6
"SE","TLB01","dry,dry,dry,dry,wet,wet",2
"SE","TLB02","dry,dry,dry,dry,wet,wet",2
"SE","TLC01","wet,wet,wet,wet,wet,wet",6
"SE","TLC02","dry,dry,wet,wet,wet,wet",4
"SE","TLC03","dry,dry,wet,wet,wet,wet",4
"SE","TLCG1","wet,wet,wet,wet,wet,wet",6
"SE","TLM01","wet,wet,wet,wet,wet,wet",6
"SE","TLM03","wet,wet,wet,wet,wet,wet",6
"SE","TLM04","wet,wet,wet,wet,wet,wet",6
"SE","TLM05","na,wet,wet,wet,wet,wet",5
"SE","TLM06","wet,wet,wet,wet,wet,wet",6
"SE","TLM08","wet,wet,wet,wet,wet,wet",6
"SE","TLM09","wet,wet,wet,wet,wet,wet",6
"SE","TLM10","wet,wet,wet,wet,wet,wet",6
"SE","TLM13","wet,wet,wet,wet,wet,wet",6
"SE","TLM14","wet,wet,wet,wet,wet,wet",6
"SE","TLM15","wet,wet,wet,wet,wet,wet",6
"SE","TLM16","wet,wet,wet,wet,wet,wet",6
"SE","TLM17","wet,wet,wet,wet,wet,wet",6
"SE","TLM18","wet,wet,wet,wet,wet,wet",6
"SE","TLM19","wet,wet,wet,wet,wet,wet",6
"SE","TLM20","dry,wet,wet,wet,wet,wet",5
"SE","TLM22","dry,dry,dry,wet,wet,wet",3
"SE","TLMG5","wet,wet,wet,wet,wet,wet",6
"SE","TLZ01","wet,wet,wet,wet,wet,wet",6
"GP","SFM01",NA,NA
